entry_id,line_no,posting_date,effective_date,account_code,account_name,account_type,cost_centre,user_id,entry_type,narration,debit,credit,approval_status,approver_id
JE1000312,1,2025-04-01,2025-04-01,5310,Power and fuel,Expense,CC-300,SYS-BATCH,System,Electricity charges,90337.93,0.0,Not required,
JE1000312,2,2025-04-01,2025-04-01,2110,Accrued expenses,Liability,CC-300,SYS-BATCH,System,Electricity charges,0.0,90337.93,Not required,
JE1000657,1,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-500,SYS-BATCH,System,Customer receipt,180484.12,0.0,Not required,
JE1000657,2,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-500,SYS-BATCH,System,Customer receipt,0.0,180484.12,Not required,
JE1002038,1,2025-04-01,2025-04-01,5310,Power and fuel,Expense,CC-600,SYS-BATCH,System,Electricity charges,73214.75,0.0,Not required,
JE1002038,2,2025-04-01,2025-04-01,2110,Accrued expenses,Liability,CC-600,SYS-BATCH,System,Electricity charges,0.0,73214.75,Not required,
JE1002185,1,2025-04-01,2025-04-01,5350,Advertisement and marketing,Expense,CC-300,SYS-BATCH,System,Marketing spend,437311.58,0.0,Not required,
JE1002185,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-300,SYS-BATCH,System,Marketing spend,0.0,437311.58,Not required,
JE1002293,1,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-100,SYS-BATCH,System,Sales invoice raised,197591.19,0.0,Not required,
JE1002293,2,2025-04-01,2025-04-01,4100,Revenue - product sales,Income,CC-100,SYS-BATCH,System,Sales invoice raised,0.0,197591.19,Not required,
JE1002608,1,2025-04-01,2025-04-01,5210,Contract staff cost,Expense,CC-400,SYS-BATCH,System,Contract staff billing,304955.64,0.0,Not required,
JE1002608,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-400,SYS-BATCH,System,Contract staff billing,0.0,304955.64,Not required,
JE1002614,1,2025-04-01,2025-04-01,5320,Repairs and maintenance,Expense,CC-400,SYS-BATCH,System,Repairs and upkeep,19736.01,0.0,Not required,
JE1002614,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-400,SYS-BATCH,System,Repairs and upkeep,0.0,19736.01,Not required,
JE1002934,1,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-200,SYS-BATCH,System,Sales invoice raised,449127.99,0.0,Not required,
JE1002934,2,2025-04-01,2025-04-01,4100,Revenue - product sales,Income,CC-200,SYS-BATCH,System,Sales invoice raised,0.0,449127.99,Not required,
JE1002998,1,2025-04-01,2025-04-01,1410,Advance to suppliers,Asset,CC-500,SYS-BATCH,System,Advance to supplier,308560.2,0.0,Not required,
JE1002998,2,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-500,SYS-BATCH,System,Advance to supplier,0.0,308560.2,Not required,
JE1003522,1,2025-04-01,2025-04-01,5370,Communication expense,Expense,CC-200,U006,Manual,Telephone and internet,16517.89,0.0,Not required,
JE1003522,2,2025-04-01,2025-04-01,2110,Accrued expenses,Liability,CC-200,U006,Manual,Telephone and internet,0.0,16517.89,Not required,
JE1004158,1,2025-04-01,2025-04-01,5100,Cost of materials consumed,Expense,CC-300,SYS-BATCH,System,Purchase of raw material,274530.29,0.0,Not required,
JE1004158,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-300,SYS-BATCH,System,Purchase of raw material,0.0,274530.29,Not required,
JE1004354,1,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-500,U021,Manual,Customer receipt,187350.47,0.0,Not required,
JE1004354,2,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-500,U021,Manual,Customer receipt,0.0,187350.47,Not required,
JE1004573,1,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-500,SYS-BATCH,System,Sales invoice raised,453387.83,0.0,Not required,
JE1004573,2,2025-04-01,2025-04-01,4100,Revenue - product sales,Income,CC-500,SYS-BATCH,System,Sales invoice raised,0.0,453387.83,Not required,
JE1004709,1,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-500,SYS-BATCH,System,Service invoice raised,174002.92,0.0,Not required,
JE1004709,2,2025-04-01,2025-04-01,4110,Revenue - service income,Income,CC-500,SYS-BATCH,System,Service invoice raised,0.0,174002.92,Not required,
JE1004894,1,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-600,SYS-BATCH,System,Supplier payment,314999.74,0.0,Not required,
JE1004894,2,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-600,SYS-BATCH,System,Supplier payment,0.0,314999.74,Not required,
JE1004953,1,2025-04-01,2025-04-01,5200,Employee benefit expense,Expense,CC-600,SYS-BATCH,System,Payroll for the month,1027754.98,0.0,Approved,A003
JE1004953,2,2025-04-01,2025-04-01,2120,Provision for employee benefits,Liability,CC-600,SYS-BATCH,System,Payroll for the month,0.0,1027754.98,Approved,A003
JE1005075,1,2025-04-01,2025-04-01,5340,Legal and professional fees,Expense,CC-400,SYS-BATCH,System,Professional fees billed,357773.97,0.0,Not required,
JE1005075,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-400,SYS-BATCH,System,Professional fees billed,0.0,357773.97,Not required,
JE1005247,1,2025-04-01,2025-04-01,5100,Cost of materials consumed,Expense,CC-200,SYS-BATCH,System,Purchase of raw material,42181.02,0.0,Not required,
JE1005247,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-200,SYS-BATCH,System,Purchase of raw material,0.0,42181.02,Not required,
JE1005286,1,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-100,SYS-BATCH,System,TDS deducted on payment,48791.06,0.0,Not required,
JE1005286,2,2025-04-01,2025-04-01,2210,TDS payable,Liability,CC-100,SYS-BATCH,System,TDS deducted on payment,0.0,48791.06,Not required,
JE1005380,1,2025-04-01,2025-04-01,5100,Cost of materials consumed,Expense,CC-200,SYS-BATCH,System,Purchase of raw material,336566.58,0.0,Not required,
JE1005380,2,2025-04-01,2025-04-01,2100,Trade payables,Liability,CC-200,SYS-BATCH,System,Purchase of raw material,0.0,336566.58,Not required,
JE1005418,1,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-600,SYS-BATCH,System,Customer receipt,113326.62,0.0,Not required,
JE1005418,2,2025-04-01,2025-04-01,1200,Trade receivables,Asset,CC-600,SYS-BATCH,System,Customer receipt,0.0,113326.62,Not required,
JE1005507,1,2025-04-01,2025-04-01,5330,Travel and conveyance,Expense,CC-100,SYS-BATCH,System,Travel reimbursement,13399.87,0.0,Not required,
JE1005507,2,2025-04-01,2025-04-01,1110,Bank - current account,Asset,CC-100,SYS-BATCH,System,Travel reimbursement,0.0,13399.87,Not required,
JE1005720,1,2025-04-01,2025-04-01,5210,Contract staff cost,Expense,CC-400,U017,Manual,Contract staff billing,337355.35,0.0,Not required,
